,Company Name,Model,Color,Price,MRP,RAM,ROM,Display size,Battery size,Processor
652,OPPO,A5,Diamond Blue,"15,973","15,973",4 GB,64GB,15.75 cm ,4230 mAh Li-ion ,Qualcomm Snapdragon 450 
653,Itel,S21,Gold,"5,449","5,449",1 GB, 16 GB,12.7 cm ,2700 mAh ,
654,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
655,Vivo,Y83,Black,"13,950","13,950",4 GB,32GB,15.8 cm ,3260 mAh Li-ion ,Mediatek Helio P22 
656,Redmi,Y2,Black,"10,290","10,499",3 GB,32GB,15.21 cm ,3080 mAh Li Polymer ,Qualcomm Snapdragon 625 
657,Realme,X50 Pro,Moss Green,"47,999","47,999",12 GB, 256 GB,16.36 cm ,4200 mAh ,Qualcomm Snapdragon 865 
658,Realme,X50 Pro,Rust Red,"47,999","47,999",12 GB, 256 GB,16.36 cm ,4200 mAh ,Qualcomm Snapdragon 865 
659,Realme,X50 Pro,Moss Green,"41,999","41,999",8 GB, 128 GB,16.36 cm ,4200 mAh ,Qualcomm Snapdragon 865 
660,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
661,Nokia,5,Matte Black,"12,499","12,499",3 GB,16GB,13.21 cm ,3000 mAh ,Qualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz 
662,I,Kall K4,Sea Blue,"4,799","5,099",2 GB, 16 GB,13.84 cm ,2500 mAh ,
663,Honor,9N,Purple,"14,500","14,500",4 GB,64GB,14.83 cm ,3000 mAh ,Kirin 659 Octa Core 
664,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
665,Nokia,3.1,Blue/Copper,"11,500","11,500",3 GB, 32 GB,13.21 cm ,2990 mAh ,
666,Nokia,3.1,White,"11,500","11,500",3 GB, 32 GB,13.21 cm ,2990 mAh ,
667,Micromax,Canvas Fire A104,White,"7,499","7,999",1 GB,4GB,11.43 cm ,1900 mAh Li-Ion ,MT6582M 
668,Huawei,Nova 3i,Black,"18,989","18,989",4 GB, 128 GB,16.0 cm ,3340 mAh ,
669,Samsung,Galaxy A70,Blue,"28,980","30,990",6 GB,128GB,17.02 cm ,4500 mAh Lithium-ion ,Qualcomm Snapdragron 675 
670,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
671,Nokia,2.1,Grey / Silver,"7,739","7,739",1 GB, 8 GB,13.97 cm ,4000 mAh ,
672,Samsung,Galaxy On7,Black,"9,977","9,977",1.5 GB,8GB,13.97 cm ,3000 mAh Li-Ion ,Qualcomm Snapdragon 410 Quad Core 1.2GHz 
673,Panasonic,P101,Blue,"6,858","6,858",2 GB,16GB,13.84 cm ,2500 mAh Lithium-ion ,MT6739WA 
674,I,Kall K300 NEW,Black,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
675,Moto,C Plus,Pearl White,"6,900","6,900",2 GB,16GB,12.7 cm ,4000 mAh ,Mediatek MTK6737 Quad Core 1.3Ghz 
676,Vivo,V7+,Energetic Blue,"22,325","22,325",4 GB,64GB,15.21 cm ,3225 mAh Li-ion ,Qualcomm Snapdragon 450 Octa Core 1.8 GHz 
677,I,Kall K3,Sea Blue,"5,799","5,799",2 GB, 16 GB,15.9 cm ,3000 mAh ,
678,InFocus,A2,Midnight Black,"5,999","5,999",2 GB,16GB,12.7 cm ,2400 mAh ,
679,Intex,Aqua Lions T1 Plus,Champagne / Champ,"8,499","8,499",2 GB, 16 GB,12.7 cm ,2400 mAh ,
680,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
681,Samsung,Galaxy J2 2018,Black,"7,999","7,999",2 GB,16GB,12.7 cm ,2600 mAh ,Snapdragon 425 
682,I,Kall K1000,Blue,"6,999","7,499",4 GB, 64 GB,15.24 cm ,3000 mAh ,
683,I,Kall K1000,Green,"6,999","7,299",4 GB, 64 GB,15.24 cm ,3000 mAh ,
684,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
685,Vivo,Y93,Starry Black,"15,490","15,990",4 GB,32GB,15.8 cm ,4030 mAh Li-ion ,MediaTek Helio P22 
686,Vivo,Y83,Gold,"11,999","11,999",4 GB,32GB,15.8 cm ,3260 mAh Li-ion ,Mediatek Helio P22 
687,Samsung,Galaxy A10,Blue,"7,990","9,157",2 GB,32GB,15.75 cm ,3400 mAh Lithium-ion ,Exynos 7884 
688,Vivo,Y81i,Gold,"11,990","11,990",2 GB,16GB,15.8 cm ,3260 mAh Li-ion ,MediaTek Helio A22 
689,I,Kall K10,Blue,"6,299","6,299",4 GB, 32 GB,15.21 cm ,3000 mAh ,
690,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
691,I,Kall K10,Sky Blue,"6,299","6,299",4 GB, 32 GB,15.21 cm ,3000 mAh ,
692,InFocus,A3,Jet Black,"9,500","9,500",2 GB,16GB,13.21 cm ,3000 mAh ,
693,I,Kall K200,Golden,"4,899","4,999",2 GB, 16 GB,13.97 cm ,2500 mAh ,
694,I,Kall K700,Red,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
695,I,Kall K200,Blue,"4,899","4,999",2 GB, 16 GB,13.97 cm ,2500 mAh ,
